timestamps,CP5,F5,C3,CP3,CP6,F6,C4,CP4,stim
1619621950222.0,-31153.32421875,33338.7890625,17542.05078125,-33250.9453125,-22106.568359375,11044.33203125,30952.2265625,-35791.3359375,0.0
1619621950226.0,-31155.60546875,33294.265625,17347.79296875,-33244.2421875,-22140.900390625,11039.5712890625,30795.98828125,-35785.96875,0.0
1619621950230.0,-31158.15234375,33287.55859375,17318.623046875,-33244.98046875,-22141.236328125,11043.1923828125,30761.923828125,-35785.56640625,0.0
1619621950234.0,-31157.818359375,33343.4140625,17513.75390625,-33253.49609375,-22112.201171875,11049.0263671875,30906.16015625,-35791.3359375,0.0
1619621950238.0,-31168.880859375,33358.30078125,17591.73828125,-33257.18359375,-22106.03125,11051.9091796875,30979.71875,-35791.87109375,0.0
1619621950242.0,-31193.357421875,33300.23046875,17356.845703125,-33256.17578125,-22145.52734375,11050.0322265625,30816.037109375,-35790.1953125,0.0
1619621950246.0,-31189.66796875,33271.734375,17256.865234375,-33255.83984375,-22149.013671875,11051.2392578125,30730.33984375,-35789.859375,0.0
1619621950250.0,-31168.009765625,33335.16796875,17451.9296875,-33249.13671875,-22102.6796875,11061.095703125,30873.50390625,-35784.49609375,0.0
1619621950254.0,-31166.802734375,33383.58203125,17595.560546875,-33241.89453125,-22076.4609375,11069.947265625,31011.435546875,-35777.98828125,0.0
1619621950258.0,-31179.677734375,33338.38671875,17393.0546875,-33240.21875,-22117.966796875,11056.603515625,30872.296875,-35779.93359375,0.0
1619621950262.0,-31170.69140625,33297.34765625,17249.892578125,-33235.7265625,-22134.798828125,11057.20703125,30747.841796875,-35776.6484375,0.0
1619621950266.0,-31152.185546875,33338.25390625,17404.185546875,-33238.9453125,-22106.232421875,11060.7607421875,30853.7890625,-35781.140625,0.0
1619621950270.0,-31153.19140625,33383.78125,17584.69921875,-33245.11328125,-22089.201171875,11056.0,31004.26171875,-35786.91015625,0.0
1619621950274.0,-31162.578125,33353.140625,17441.669921875,-33238.0703125,-22114.8828125,11056.267578125,30913.06640625,-35775.0390625,0.0
1619621950278.0,-31167.33984375,33304.0546875,17252.373046875,-33234.5859375,-22138.75390625,11057.005859375,30767.421875,-35769.00390625,0.0
1619621950282.0,-31167.80859375,33338.3203125,17355.50390625,-33245.046875,-22121.857421875,11058.48046875,30848.357421875,-35777.7890625,0.0
1619621950286.0,-31175.05078125,33385.7265625,17561.36328125,-33254.1640625,-22100.3984375,11061.029296875,31021.359375,-35785.56640625,0.0
1619621950290.0,-31185.443359375,33358.703125,17454.208984375,-33246.921875,-22121.455078125,11058.212890625,30950.013671875,-35780.5390625,0.0
1619621950294.0,-31185.310546875,33302.71484375,17239.69921875,-33242.02734375,-22145.4609375,11053.9208984375,30776.408203125,-35777.65625,0.0
1619621950298.0,-31172.703125,33329.6015625,17314.197265625,-33239.94921875,-22124.271484375,11059.7548828125,30819.658203125,-35776.046875,0.0
1619621950302.0,-31172.771484375,33382.2421875,17543.728515625,-33246.72265625,-22093.42578125,11060.89453125,30995.341796875,-35782.1484375,0.0
1619621950306.0,-31183.833984375,33378.21875,17494.84375,-33241.9609375,-22109.787109375,11062.705078125,30973.146484375,-35777.921875,0.0
1619621950310.0,-31188.126953125,33313.64453125,17255.724609375,-33232.3046875,-22143.11328125,11063.845703125,30792.8359375,-35766.9921875,0.0
1619621950314.0,-31184.70703125,33315.5859375,17264.64453125,-33233.84765625,-22131.310546875,11065.8564453125,30794.712890625,-35767.4609375,0.0
1619621950318.0,-31187.1875,33372.1171875,17493.033203125,-33241.69140625,-22099.326171875,11067.6669921875,30989.978515625,-35775.0390625,0.0
1619621950322.0,-31197.111328125,33381.16796875,17512.94921875,-33237.66796875,-22105.49609375,11072.0263671875,31025.71875,-35770.4140625,0.0
1619621950326.0,-31199.794921875,33320.68359375,17284.4921875,-33223.65625,-22134.931640625,11077.255859375,30848.625,-35756.66796875,0.0
1619621950330.0,-31188.4609375,33308.61328125,17253.646484375,-33227.6796875,-22131.982421875,11079.06640625,30802.4921875,-35760.2890625,0.0
1619621950334.0,-31188.193359375,33354.48046875,17492.564453125,-33242.4296875,-22098.990234375,11073.3671875,30970.33203125,-35775.10546875,0.0
1619621950338.0,-31208.9140625,33371.98046875,17565.7890625,-33251.6171875,-22105.49609375,11060.626953125,31029.7421875,-35786.171875,0.0
1619621950342.0,-31219.306640625,33311.56640625,17337.0625,-33247.39453125,-22141.4375,11055.59765625,30849.900390625,-35782.01171875,0.0
1619621950346.0,-31214.076171875,33287.55859375,17249.35546875,-33246.453125,-22144.25390625,11057.810546875,30771.177734375,-35782.08203125,0.0
