timestamps,CP5,F5,C3,CP3,CP6,F6,C4,CP4,stim
1619621866874.0,-5380.109375,18019.619140625,25191.109375,-19112.552734375,-22093.4921875,7291.6533203125,15833.685546875,-20188.85546875,0.0
1619621866878.0,-5174.25,18177.064453125,26611.47265625,-19157.61328125,-21944.2265625,7282.86865234375,16525.962890625,-20233.044921875,0.0
1619621866882.0,-5359.3896484375,18015.39453125,26194.322265625,-19136.2890625,-22093.291015625,7269.79296875,16092.3173828125,-20206.892578125,0.0
1619621866886.0,-5584.0244140625,17882.69140625,24721.654296875,-19096.7265625,-22280.7109375,7275.09033203125,15338.0126953125,-20174.037109375,0.0
1619621866890.0,-5439.9228515625,18020.35546875,24962.853515625,-19131.595703125,-22146.80078125,7293.1953125,15678.2509765625,-20200.25390625,0.0
1619621866894.0,-5196.57958984375,18171.900390625,26471.529296875,-19175.919921875,-21942.1484375,7292.0556640625,16485.462890625,-20237.134765625,0.0
1619621866898.0,-5307.9580078125,18140.384765625,26423.986328125,-19137.8984375,-22036.16015625,7305.73486328125,16272.3603515625,-20203.0703125,0.0
1619621866902.0,-5572.0888671875,17950.751953125,24903.240234375,-19099.9453125,-22256.435546875,7301.91259765625,15455.4931640625,-20169.8125,0.0
1619621866906.0,-5509.861328125,18022.099609375,24777.177734375,-19137.697265625,-22191.59375,7312.2392578125,15586.8544921875,-20205.41796875,0.0
1619621866910.0,-5250.55908203125,18177.130859375,26278.54296875,-19184.904296875,-21977.21875,7314.384765625,16428.330078125,-20256.24609375,0.0
1619621866922.0,-5644.91064453125,17899.322265625,24615.908203125,-19135.015625,-22230.955078125,7286.8251953125,15476.6826171875,-20214.203125,0.0
1619621866926.0,-5501.81494140625,18153.05859375,26011.529296875,-19206.228515625,-22015.037109375,7276.9677734375,16296.5,-20280.921875,0.0
1619621866930.0,-5460.3076171875,18164.45703125,26615.09375,-19201.802734375,-22027.576171875,7257.1865234375,16427.458984375,-20291.517578125,0.0
1619621866934.0,-5710.423828125,17929.02734375,25274.994140625,-19160.49609375,-22257.30859375,7253.76708984375,15612.8056640625,-20249.80859375,0.0
1619621866938.0,-5749.85205078125,17927.484375,24499.3671875,-19182.423828125,-22301.765625,7255.64453125,15371.9423828125,-20264.626953125,0.0
1619621866942.0,-5451.45654296875,18111.55078125,25744.44921875,-19238.01171875,-22074.58203125,7248.2685546875,16197.1240234375,-20318.00390625,0.0
1619621866946.0,-5370.05126953125,18157.88671875,26654.791015625,-19241.6328125,-22023.419921875,7228.75537109375,16603.478515625,-20332.95703125,0.0
1619621866950.0,-5613.2607421875,17931.642578125,25493.9296875,-19188.79296875,-22256.63671875,7220.8427734375,15914.62109375,-20291.046875,0.0
1619621866954.0,-5728.86376953125,17873.3046875,24438.681640625,-19188.32421875,-22349.642578125,7215.34423828125,15541.9951171875,-20290.51171875,0.0
1619621866958.0,-5463.79443359375,18081.509765625,25460.87109375,-19246.39453125,-22140.498046875,7214.673828125,16300.12109375,-20344.826171875,0.0
1619621866962.0,-5308.3603515625,18178.0703125,26625.888671875,-19262.62109375,-22047.224609375,7208.37060546875,16856.814453125,-20367.826171875,0.0
1619621866966.0,-5521.59619140625,17992.259765625,25732.982421875,-19214.9453125,-22254.4921875,7191.00341796875,16233.8037109375,-20322.36328125,0.0
1619621866970.0,-5656.17578125,17919.908203125,24475.294921875,-19190.068359375,-22382.701171875,7192.478515625,15672.0146484375,-20301.240234375,0.0
1619621866974.0,-5421.1474609375,18104.376953125,25204.720703125,-19238.951171875,-22191.05859375,7204.615234375,16263.3076171875,-20341.875,0.0
1619621866978.0,-5258.94091796875,18244.119140625,26548.0390625,-19284.68359375,-22045.81640625,7204.81640625,16934.1953125,-20376.140625,0.0
1619621866982.0,-5484.24658203125,18120.87109375,25964.390625,-19254.306640625,-22223.177734375,7195.09375,16429.470703125,-20349.5859375,0.0
1619621866986.0,-5676.49365234375,17972.6796875,24551.8046875,-19224.064453125,-22385.048828125,7200.92724609375,15706.615234375,-20319.2109375,0.0
