timestamps,CP5,F5,C3,CP3,CP6,F6,C4,CP4,stim
1619623590208.0,-25790.8515625,25371.95703125,15385.890625,-40644.25390625,-21728.912109375,20037.51171875,41580.94921875,-45548.47265625,0.0
1619623590212.0,-25791.857421875,25429.7578125,15322.9921875,-40643.25,-21728.376953125,20032.482421875,40994.1484375,-45548.00390625,0.0
1619623590216.0,-25792.392578125,25454.63671875,15431.15234375,-40648.94921875,-21720.1953125,20040.6640625,41543.93359375,-45550.6875,0.0
1619623590220.0,-25793.599609375,25480.451171875,15490.697265625,-40654.046875,-21716.91015625,20050.85546875,42196.5859375,-45551.08984375,0.0
1619623590224.0,-25788.50390625,25397.37109375,15383.140625,-40648.8828125,-21719.123046875,20051.056640625,41701.046875,-45547.1328125,0.0
1619623590228.0,-25783.408203125,25358.142578125,15312.7998046875,-40643.1171875,-21716.708984375,20052.93359375,40994.953125,-45544.31640625,0.0
1619623590232.0,-25784.14453125,25373.095703125,15400.0390625,-40647.00390625,-21715.501953125,20064.53515625,41377.4375,-45552.36328125,0.0
1619623590236.0,-25785.150390625,25384.763671875,15478.4267578125,-40650.15625,-21720.59765625,20070.837890625,42128.79296875,-45559.47265625,0.0
1619623590240.0,-25784.14453125,25363.91015625,15379.1181640625,-40644.9921875,-21728.7109375,20058.232421875,41768.1015625,-45560.4765625,0.0
1619623590244.0,-25783.67578125,25347.212890625,15279.0712890625,-40641.10546875,-21729.78515625,20055.482421875,40985.23046875,-45559.73828125,0.0
1619623590248.0,-25784.212890625,25364.3125,15353.9052734375,-40641.57421875,-21724.48828125,20061.451171875,41203.96484375,-45561.01171875,0.0
1619623590252.0,-25786.828125,25373.095703125,15450.732421875,-40649.28515625,-21728.578125,20058.96875,42031.76171875,-45569.86328125,0.0
1619623590256.0,-25783.876953125,25375.17578125,15377.3076171875,-40647.2734375,-21731.662109375,20054.07421875,41885.11328125,-45564.1640625,0.0
1619623590264.0,-25782.0,25415.005859375,15263.9169921875,-40642.78125,-21728.509765625,20052.93359375,41060.66796875,-45554.7109375,0.0
1619623590264.0,-25784.681640625,25352.443359375,15318.0302734375,-40645.12890625,-21724.21875,20059.7734375,41076.0234375,-45553.234375,0.0
1619623590268.0,-25789.64453125,25343.79296875,15452.0068359375,-40650.08984375,-21725.560546875,20064.46875,41945.59765625,-45558.734375,0.0
1619623590272.0,-25792.728515625,25343.525390625,15406.87890625,-40651.56640625,-21736.556640625,20056.95703125,42003.0625,-45563.16015625,0.0
1619623590276.0,-25796.88671875,25326.962890625,15274.9140625,-40648.61328125,-21741.720703125,20045.625,41179.01953125,-45562.01953125,0.0
1619623590280.0,-25796.283203125,25338.02734375,15295.1640625,-40644.1875,-21728.509765625,20063.529296875,41024.125,-45551.0234375,0.0
1619623590284.0,-25797.82421875,25413.46484375,15428.671875,-40648.81640625,-21728.041015625,20066.345703125,41813.96875,-45556.38671875,0.0
1619623590292.0,-25799.43359375,25460.603515625,15419.9541015625,-40647.47265625,-21730.3203125,20057.025390625,42045.77734375,-45559.0703125,0.0
1619623590292.0,-25795.076171875,25445.78515625,15300.529296875,-40638.421875,-21728.443359375,20053.470703125,41301.59765625,-45551.89453125,0.0
1619623590296.0,-25795.6796875,25435.591796875,15301.736328125,-40641.7734375,-21731.86328125,20046.4296875,40998.91015625,-45555.37890625,0.0
1619623590300.0,-25801.78125,25444.107421875,15433.7001953125,-40650.55859375,-21731.86328125,20054.744140625,41796.0625,-45562.421875,0.0
1619623590308.0,-25800.505859375,25450.34375,15449.7265625,-40648.94921875,-21730.25390625,20062.724609375,42240.50390625,-45555.78125,0.0
1619623590308.0,-25796.6171875,25430.09375,15320.17578125,-40640.30078125,-21733.5390625,20056.353515625,41553.859375,-45547.40234375,0.0
1619623590312.0,-25794.404296875,25422.986328125,15289.7998046875,-40638.15234375,-21733.0703125,20059.70703125,41067.30859375,-45545.7265625,0.0
1619623590320.0,-25796.685546875,25441.291015625,15412.7119140625,-40645.4609375,-21728.443359375,20073.85546875,41712.2421875,-45549.8828125,0.0
1619623590320.0,-25797.154296875,25434.921875,15459.1142578125,-40648.2109375,-21731.326171875,20068.759765625,42270.34375,-45556.921875,0.0
1619623590324.0,-25795.208984375,25413.53125,15349.6806640625,-40641.7734375,-21730.923828125,20059.974609375,41694.33984375,-45550.015625,0.0
1619623590332.0,-25795.611328125,25356.400390625,15293.287109375,-40641.4375,-21734.2109375,20047.033203125,41074.21484375,-45550.75390625,0.0
1619623590332.0,-25802.384765625,25329.041015625,15394.4736328125,-40653.57421875,-21744.0,20038.3828125,41528.04296875,-45565.83984375,0.0
1619623590336.0,-25805.603515625,25329.98046875,15461.7294921875,-40657.1953125,-21744.603515625,20039.724609375,42202.484375,-45568.79296875,0.0
1619623590340.0,-25801.04296875,25313.283203125,15361.080078125,-40651.02734375,-21739.0390625,20037.17578125,41777.82421875,-45558.66796875,0.0
1619623590348.0,-25800.57421875,25344.0625,15278.1328125,-40651.8984375,-21739.373046875,20030.806640625,41058.5234375,-45556.72265625,0.0
1619623590348.0,-25798.29296875,25354.72265625,15360.87890625,-40654.44921875,-21737.49609375,20030.939453125,41384.0078125,-45564.09765625,0.0
1619623590352.0,-25799.298828125,25345.068359375,15452.0068359375,-40658.875,-21739.306640625,20031.8125,42178.27734375,-45571.875,0.0
1619623590360.0,-25790.11328125,25344.330078125,15371.40625,-40651.6328125,-21734.412109375,20034.6953125,41906.1015625,-45563.76171875,0.0
1619623590360.0,-25783.072265625,25295.24609375,15265.5263671875,-40645.796875,-21734.27734375,20027.185546875,41094.33203125,-45560.0078125,0.0
1619623590364.0,-25781.73046875,25299.939453125,15324.8701171875,-40649.28515625,-21733.40625,20024.97265625,41194.9140625,-45564.90234375,0.0
1619623590368.0,-25782.736328125,25314.958984375,15443.69140625,-40653.77734375,-21728.17578125,20043.748046875,42036.5234375,-45562.0859375,0.0
1619623590376.0,-25781.26171875,25317.44140625,15393.0654296875,-40651.02734375,-21730.72265625,20041.06640625,41982.20703125,-45558.46484375,0.0
1619623590376.0,-25780.5234375,25296.5859375,15272.7685546875,-40650.4921875,-21739.373046875,20029.330078125,41153.67578125,-45558.59765625,0.0
1619623590380.0,-25776.90234375,25334.00390625,15300.73046875,-40651.23046875,-21735.751953125,20042.205078125,41118.46875,-45554.44140625,0.0
1619623590388.0,-25781.462890625,25333.802734375,15416.6015625,-40659.609375,-21744.26953125,20043.546875,41972.62109375,-45566.84765625,0.0
1619623590392.0,-25784.212890625,25297.123046875,15377.0390625,-40660.88671875,-21750.638671875,20036.505859375,42112.4296875,-45569.12890625,0.0
1619623590392.0,-25783.541015625,25266.947265625,15246.482421875,-40658.60546875,-21757.61328125,20019.943359375,41321.4453125,-45567.31640625,0.0
1619623590396.0,-25786.357421875,25269.16015625,15245.5439453125,-40662.6953125,-21766.93359375,20010.95703125,41087.421875,-45574.828125,0.0
1619623590404.0,-25791.185546875,25272.849609375,15366.4443359375,-40667.79296875,-21771.962890625,20017.39453125,41879.4140625,-45583.609375,0.0
1619623590404.0,-25793.197265625,25280.626953125,15368.9921875,-40668.6640625,-21775.44921875,20016.58984375,42199.40234375,-45583.87890625,0.0
1619623590408.0,-25791.119140625,25254.005859375,15246.8173828125,-40661.421875,-21773.236328125,20014.578125,41456.4296875,-45571.67578125,0.0
1619623590416.0,-25788.90625,25283.578125,15236.759765625,-40660.21484375,-21773.572265625,20014.98046875,41055.7734375,-45569.4609375,0.0
1619623590420.0,-25792.59375,25290.953125,15375.4970703125,-40665.2421875,-21774.107421875,20028.59375,41773.93359375,-45574.0234375,0.0
1619623590420.0,-25796.1484375,25304.56640625,15409.962890625,-40668.12890625,-21778.66796875,20032.75,42246.875,-45575.96484375,0.0
1619623590428.0,-25796.349609375,25271.0390625,15292.884765625,-40665.98046875,-21786.580078125,20019.541015625,41591.74609375,-45575.16015625,0.0
1619623590432.0,-25802.25,25258.6328125,15259.357421875,-40671.81640625,-21800.595703125,20003.515625,41035.0546875,-45586.29296875,0.0
1619623590432.0,-25801.84765625,25264.66796875,15386.76171875,-40676.7109375,-21802.13671875,20004.990234375,41606.296875,-45593.33203125,0.0
